word,translation,phonetic
"above","X. 以上 ADV. 上面 ADJ. 上述","/əbˈʌv/"
"accessible","ADJ. 访问，方便，便利，存取","/əksˈɛsəbə‍l/"
"adjust","VERB. 调整，调节，适应，调","/əd‍ʒˈʌst/"
"admit","VERB. 承认，认错，接纳，录取","/ədmˈɪt/"
"advertise","VERB. 做广告，登广告，宣传，刊登广告，投放广告，广告，通告，刊登","/ˈædvətˌa‍ɪz/"
"advertising","NOUN. 广告，广告宣传，做广告，宣传","'ædvәtaiziŋ"
"aesthetic","ADJ. 审美，美学，美感，唯美，审美观，美观，美育，美容","/iːsθˈɛtɪk/"
"alongside","X. 旁边","/əlˈɒŋsa‍ɪd/"
"anxiety","NOUN. 焦虑，焦虑症，焦虑情绪，忧虑，焦虑症状，焦虑不安，不安，焦急，担忧","/æŋzˈa‍ɪ‍əti/"
"archive","NOUN. 存档，归档，档案，归档文件，档案馆，档案库，档案室，封存","/ˈɑː.kaɪv/"
"assets","NOUN. 资产，财富，财产","ˈasɛts"
"basis","NOUN. 基础，依据，根据，基，基准","/bˈe‍ɪsɪs/"
"bind","VERB. 绑定，捆住，装订，绑，约束，捆绑，束缚","/bˈa‍ɪnd/"
"brand","NOUN. 品牌，牌，牌子，名牌，商标","/brænd/"
"branding","VERB. 品牌，烙印，署名","brˈandɪŋ"
"brush","NOUN. 刷，刷子，画笔，电刷，笔刷，毛刷，毛笔，牙刷，擦 VERB. 刷牙","/brʌʃ/"
"bunch","NOUN. 堆，束，串，一群，捆","/bˈʌnt‍ʃ/"
"candy","NOUN. 糖果，糖，坎蒂，凯蒂","/kˈændi/"
"capability","NOUN. 能力，性能，功能，容量","/kˌe‍ɪpəbˈɪlɪti/"
"catalyzed","VERB. 催化","ˈkætəlaizd"
"centos","X. 社区企业操作系统（Community Enterprise Operating System）","sˈɛntəʊz"
"centralize","VERB. 集中","/ˈsen.trə.laɪz/"
"charge","NOUN. 电荷，负责，收费，充电，费，指控，主管，费用，负责人 VERB. 收取，收","/tʃɑːdʒ/"
"chart","NOUN. 图表，图，海图，表，表格，病历","/tʃɑːt/"
"component","NOUN. 组件，组成部分，构件，分量，成分，组分，元件，部件，组成，零件","/kəmpˈə‍ʊnənt/"
"consider","VERB. 考虑，否考虑，认为，思考，审议","/kənsˈɪdə/"
"convert","VERB. 转换，皈依，转化，换算","/ˈkɑnvət/"
"cosmetic","ADJ. 化妆品，整容，美容，化妆，整形，化装品","/kɒzmˈɛtɪk/"
"coworker","NOUN. 共同工作的人，同事，合作者","kˈəʊwɜːkə"
"custom","NOUN. 自定义，定制，习俗，风俗，定做，习惯，订，海关，风俗习惯","/kˈʌstəm/"
"deliver","VERB. 交付，提供，送，传递，交货，运送，救","/dɪlˈɪvə/"
"directions","NOUN. 方向，方向前进，指示，路向，指导，导向，方位，走向，取向","daɪrˈɛkʃənz"
"disadvantage","NOUN. 缺点，劣势，处于劣势，不利，弊端，弊，坏处，不利因素，弱势","/dˌɪsədvˈɑːntɪd‍ʒ/"
"discuss","VERB. 讨论，探讨，洽谈，商讨，商量，谈，论述，谈论，谈谈，论","/dɪskˈʌs/"
"drain","NOUN. 排水，流失，排水管，排水沟，漏，下水道，排泄，吸取，消耗，排放 VERB. 排","/dreɪn/"
"ecosystem","NOUN. 生态","/ˈiːkə‍ʊsˌɪstəm/"
"encountered","VERB. 遇到，碰到，遇，遭到，遇见 NOUN. 遭遇，邂逅，相遇","ɛŋkˈaʊntəd"
"encourage","VERB. 鼓励，激励，助长，鼓舞，促使，促进，提倡","/ɪnˈkʌr.ɪdʒ/"
"encrypt","VERB. 加密","/ɪnˈkrɪpt/"
"essential","ADJ. 必不可少，本质，必要，基本，必需，至关重要，精，重要，关键，根本","/ɪsˈɛnʃə‍l/"
"fingerprint","NOUN. 指纹，指纹图谱，指印，手印","/ˈfɪŋ.ɡə.prɪnt/"
"fuzz","NOUN. 绒毛，模糊","/fˈʌz/"
"gear","NOUN. 齿轮，齿，装备，传动装置，渔具，档，挡","/ɡɪər/"
"genius","NOUN. 天才，天赋，才华","/d‍ʒˈiːnɪəs/"
"hardware","NOUN. 硬件，五金，硬体，硬","/ˈhɑːd.weər/"
"howdunit","X. [网络] 怎麽办到的；如何办到；怎样做的","hˈaʊdjuːnˌɪt"
"illustrations","NOUN. 插图，例证，插画，图解，画像","ˌɪləstrˈeɪʃənz"
"inpainting","X. 图像修复","ˈɪnpeɪntɪŋ"
"instructions","NOUN. 指令，教学，指导，指示，说明书，授课","ɪnstrˈʌkʃənz"
"integration","NOUN. 集成，整合，一体化，融合，积分，综合，结合，一体，融入","/ˌɪn.tɪˈɡreɪ.ʃən/"
"intend","VERB. 意愿，打算，拟，有意，意图","/ɪntˈɛnd/"
"interactive","ADJ. 交互式，互动，交互，互动式，人机交互","/ˌɪn.təˈræk.tɪv/"
"kind","NOUN. 善良，那种，类，一种，种，种类，样，类型，什么样","/kˈa‍ɪnd/"
"lake","NOUN. 湖，湖泊，湖边，湖里，湖面，湖水，湖畔，潭","/lˈe‍ɪk/"
"limitations","NOUN. 局限性，限制，局限，限度，有限性，时效，缺陷，限，限额，极限","lˌɪmɪtˈeɪʃənz"
"local","ADJ. 当地，本地，局部，地方，本土，地方性，本港，地区","/lˈə‍ʊkə‍l/"
"mechanism","NOUN. 机制，机理，机构，机械","/mˈɛkənˌɪzəm/"
"name","NOUN. 名字，名称，名，姓名，名义，叫，命名","/nˈe‍ɪm/"
"navigate","VERB. 导航，浏览，航行，遨游，驾驭","/nˈævɪɡˌe‍ɪt/"
"navigation","NOUN. 导航，航行，航海，通航，导，航，航运","/nˌævɪɡˈe‍ɪʃən/"
"netsh","PROPN. Netsh命令",""
"nomad","ADJ. 游牧 NOUN. 游牧民族，牧民，流浪者","/nˈə‍ʊmæd/"
"nor","CONJ. 也","/nɔːr/"
"originally","ADV. 原来，原本，最初，本来，原先，起初，原，当初","/əˈrɪdʒ.ən.əl.i/"
"peach","NOUN. 桃，桃子，桃花，水蜜桃，蜜桃，桃树，桃色，桃红色","/pˈiːt‍ʃ/"
"premier","NOUN. 总理，国务院总理，温总理，首相，温家宝 ADJ. 首屈一指，首要","/ˈprem.i.ər/"
"prior","ADJ. 事先，先验，先前，预先，优先，以前，现有 ADV. 之前，前，在此之前","/praɪər/"
"privileges","NOUN. 特权，权限，荣幸，殊荣，有幸，优待，优先权","prˈɪvɪlɪdʒɪz"
"puppet","NOUN. 木偶，傀儡，玩偶，伪，布偶","/pˈʌpɪt/"
"qualms","NOUN. 疑虑","kwˈɑːmz"
"rejoice","NOUN. 飘柔，欣喜 VERB. 欢喜，庆幸，喜乐，欢欣鼓舞，欢庆，欢呼，高兴","/rɪˈdʒɔɪs/"
"remain","VERB. 保持，仍然，留，仍，依然，继续，维持，仍是，停留，保留","/rɪˈmeɪn/"
"represent","VERB. 代表，表示，占","/ˌrep.rɪˈzent/"
"retention","NOUN. 保留，潴留，滞留，挽留，保，固，留住","/rɪˈten.ʃən/"
"rid","VERB. 摆脱，除去，除掉，去除 ADJ. 赶走","/rɪd/"
"seat","NOUN. 座位，座椅，座，位子，席位，阀座，议席，所在地，坐，席，位置","/sˈiːt/"
"separate","ADJ. 单独，分开，独立，分离，分别，另，隔离 VERB. 分隔","/ˈsep.ər.ət/"
"separator","NOUN. 分隔符，分选机，分离，隔板，隔膜，分隔","sˈɛpərˌeɪtə"
"shady","ADJ. 黑幕，阴暗，阴凉，成荫，荫凉，不明不白，见不得人，阴，可疑，阴险","/ʃˈe‍ɪdi/"
"solar","ADJ. 太阳能，太阳，太阳能电池，日光","/sˈə‍ʊlə/"
"spreadsheet","NOUN. 电子表格","/ˈspred.ʃiːt/"
"struggle","NOUN. 斗争，奋斗，挣扎，拼搏，抗争，争斗，搏斗，作斗争，争","/ˈstrʌɡ.əl/"
"stuff","NOUN. 东西，玩意，玩意儿，事情，事，物品，材料","/stˈʌf/"
"swiping","NOUN. 刷卡 VERB. 刷 ADJ. 滑动","swˈaɪpɪŋ"
"syscall","X. 系统调用","sˈɪskɔːl"
"the","DET. 特定的","/ðə"
"various","ADJ. 各种，各，各个，各类，不同，各项，各种各样，多种，种种，多个","/ˈveə.ri.əs/"
"vocabularies","NOUN. 词汇，词汇量，词汇表，语汇，字汇，单词，词语","vəʊkˈabjʊləriz"
"whodunit","NOUN. 侦探小说，惊险刺激读物","/hˈuːdjuːnˌɪt/"
"whydunit","X. [网络] 犯罪动机；为何犯罪；为何而做","wˈaɪdjuːnˌɪt"
"wireframes","NOUN. 线框图","wˈaɪəfreɪmz"
"wrap","VERB. 包裹，包装，包，封装 NOUN. 裹，缠绕","/ræp/"
"wrapper","NOUN. 包装，包装纸，包皮","/ˈræp.ər/"